,Albany,Annapolis,Atlanta,Austin,Austin,Baton Rouge,Bismarck,Boise,Boston,Carson City,Charleston,Cheyenne,Columbia,Columbus,Concord,Denver,Des Moines,Dover,Frankfurt,Harrisburg,Hartford,Helena,Indianapolis,Jackson,Jefferson City,Lansing,Lincoln,Litle Rock,Madison,Montgomery,Montpellier,Nashville,Oklahoma City,Olynpia,Phoenix,Pierre,Providence,Raleigh,Richmond,Sacremento,Salem,Salt Lake City,Santa Fe,Springfield,St Paul,Tallahassee,Topeka,Trenton,Washington DC
Montpellier,124.8885551412,423.4982922117,933.4035776986,136.1884624236,1636.5629236506,1358.7931914682,1330.2302123404,2100.5634222787,153.3724251732,2352.9462205345,613.3892301786,1600.931778766,814.9883932186,604.2036818128,94.0549277685,1633.466872892,1028.8535056838,381.8996384134,742.4676542969,343.0949083609,173.5447685919,1869.2189915637,747.184268858,1229.9511606402,1031.4460850168,606.3894632611,1210.9429600303,1208.8034231632,814.1510588806,1079.4389978301,0,923.3458547952,1425.0230669772,2330.2040065622,2166.9904915246,1338.4350632562,186.6626664847,633.422431996,504.9291367736,2447.5493102294,2403.1976278634,1950.797373075,1793.1583362453,902.6076175848,973.0152017863,1123.759359744,1200.5100723831,295.4874271036,434.607074246
Nashville,818.1257866464,582.8892358009,208.6656711303,1041.6039669467,720.1168641462,448.7244522415,989.0313343254,1589.5304377136,930.8116053768,1725.2965254714,321.0263057291,990.7684281199,371.7426092978,329.6023236353,938.5923147117,971.4853492378,491.6825549508,645.4481854625,181.7102824136,611.9506973223,843.6767986264,1447.3384618266,249.9908690809,313.2724201135,289.6379758404,482.227983024,597.6430606169,304.2229260771,490.3771785163,276.2786529634,923.3458547952,0,582.8152156581,1907.0748149694,1382.8380755425,892.7230463843,903.0445217857,501.2170177721,539.8213120476,1813.9457031231,1915.8676254422,1332.4908503723,1015.9369674546,263.1077957771,668.2797929501,418.1870241219,494.2372435231,712.7126186931,559.3786663166
Oklahoma City,1340.1224350703,1149.6174372411,740.0175703203,1555.8287457797,344.6482470156,497.3285095963,790.9172699028,1127.3350492943,1466.9010730849,1188.3790621982,881.6635551861,546.5911360222,936.7058360172,832.3581157595,1461.8448973874,483.9672949548,489.8532151457,1210.9429600303,725.0554121037,1159.7181246152,1383.1767632388,1063.1365450249,679.4532912705,464.3617642144,394.1095222889,846.2710389071,381.8996384134,300.9981568564,690.1543321543,691.9321409323,1425.0230669772,582.8152156581,0,1473.4492783088,800.6628462879,645.6327692689,1446.2592802712,1083.9004621428,1116.5681092463,1271.1269753396,1443.9220807109,825.2863239115,440.5322499634,523.4480871366,701.0612976225,830.5989042914,283.0081097987,1267.1513247882,1125.1826002284
Olynpia,2317.228818518,2293.4670971665,2111.771115951,2458.3893759114,1717.0785501138,1970.7477733021,1007.7586616287,353.6160122916,2449.8514810159,563.6046494455,2075.9339867775,936.0959171509,2270.9307678192,1956.9799083225,2410.9200753933,989.4819848016,1446.5674971255,2338.0304755815,1948.6098742253,2247.7161528047,2394.6740004222,471.9883573733,1820.1765912209,1922.9404471998,1617.5878885129,1793.0300133925,1309.9833693791,1732.9219909548,1590.1429501461,2117.3071124254,2330.2040065622,1907.0748149694,1473.4492783088,0,1076.2005544084,1042.3334851329,2454.4083303332,2339.8776447193,2305.7171813199,588.8749006781,175.0417356055,680.0486866513,1141.4340198284,1679.8527112467,1387.0035190547,2268.4750986493,1417.3615971251,2347.5082176628,2271.2482811365
Phoenix,2098.0826449987,1938.0339576208,1536.4864864865,2302.2003520372,843.2164431812,1205.7386522748,1082.069860321,759.0749363193,2230.7245937799,565.0171946419,1671.6829338316,651.0386711643,1735.5187123384,1604.864005762,2217.0931850918,576.2642119101,1142.5314057602,1997.9012225598,1515.1549074989,1937.5939855618,2151.0997620444,907.7551196193,1446.2592802712,1228.0304564812,1158.7682214699,1562.1067803238,962.724744425,1096.7134147524,1363.4405198366,1471.0938298577,2166.9904915246,1382.8380755425,800.6628462879,1076.2005544084,0,968.9655648616,2215.3328208058,1884.0515630375,1911.1382274248,609.9061256486,960.1199192358,486.6216028581,375.8919268708,1279.9596314512,1264.4636187899,1594.1623612542,968.5902133828,2046.680064837,1913.3943360734
Pierre,1305.4447492812,1253.6748392744,1101.3492787246,1472.7896302955,985.6125803326,1079.7682061947,148.0284975426,768.7885820281,1441.2176416916,1019.9411049469,1034.0242168736,318.4045898447,1242.5692209327,914.7912561709,1409.8464784396,397.3438334577,409.5698272448,1300.3737803379,911.091714242,1213.0025108414,1377.5210966821,571.0678743948,779.0563981118,990.0735413286,608.16215976,762.2187658682,314.3526166068,795.4421844543,552.847235447,1135.4246734985,1338.4350632562,892.7230463843,645.6327692689,1042.3334851329,968.9655648616,0,1439.8185719346,1298.8799467785,1263.6379834631,1114.4833499548,1084.398836396,627.0889123701,666.6731342516,646.9773654992,365.54553626,1288.6934921569,445.4158397164,1316.0838839631,1231.0330559951
Providence,137.6588663218,336.1810727266,871.312798842,190.3463645444,1623.090550909,1314.4906900727,1447.7287569462,2207.9228477644,44.6406396193,2441.1347709725,582.0427303525,1681.3587423863,722.159494351,614.346380741,101.9374942758,1704.2174729279,1096.5167057771,278.1092900456,730.7312946506,291.2224869206,64.4199266841,1987.7405721514,770.8301663542,1193.6986443889,1060.2514018204,682.0576974881,1276.990025204,1202.601157268,895.2417129561,1014.2693127865,186.6626664847,903.0445217857,1446.2592802712,2454.4083303332,2215.3328208058,1439.8185719346,0,524.0599953666,407.6794329957,2535.3384419717,2517.8727455717,2036.1857280737,1839.4787239582,935.8632534823,1076.2807275655,1034.6061911576,1247.690708359,194.9532168413,355.5685064042
Raleigh,508.5414519262,211.9867152004,385.508354015,706.1884051371,1180.9846348772,832.6961893479,1359.8813554681,2043.1638095885,564.8171776069,2209.5161782951,266.7755476829,1458.1553858528,203.612821684,397.0541865124,600.4723305219,1452.0150792461,893.7925080688,253.2161642911,395.7896795223,304.0540540541,484.8155425515,1869.7168080471,519.8563639628,729.7578823398,755.7739757431,612.0715433197,1045.6984308017,796.7840766888,772.0445425937,514.8808254602,633.422431996,501.2170177721,1083.9004621428,2339.8776447193,1884.0515630375,1298.8799467785,524.0599953666,0,130.1250311814,2300.0755259617,2367.9397962667,1809.8366177385,1516.2514448863,666.1891475231,985.1872692245,512.9820329277,967.5206182932,341.6547890588,206.766692925
Richmond,380.0986473779,81.9881692547,469.330082999,583.7978601907,1247.453578684,917.482233424,1311.6760170497,2020.7517730461,446.0611030675,2206.7352409537,243.2432432432,1448.070710906,315.6244462781,348.8960467308,476.9719936098,1450.6859036133,868.6112376108,130.0144679256,397.1421373799,174.6187017915,362.7189145287,1833.9083837053,495.3582938629,803.9737070916,761.0103070018,538.0220043238,1032.6245487732,843.6548826347,719.9713516945,609.3669403018,504.9291367736,539.8213120476,1116.5681092463,2305.7171813199,1911.1382274248,1263.6379834631,407.6794329957,130.1250311814,0,2298.7308722603,2343.0959459923,1803.4355909226,1538.5562433977,655.861501931,931.1845351069,628.0644377059,968.9189189189,217.5633707838,77.9812867365
Sacremento,2404.8520848561,2307.4548888939,1997.7572569525,2582.9287995114,1411.4775917332,1740.8244533007,1159.1369330285,441.6965846596,2541.2039997694,94.6428448373,2055.9770514845,855.6959606446,2184.481612648,1960.5134630281,2514.5341759433,848.591085154,1443.6545686256,2361.6335066171,1907.4938238677,2284.7508147739,2471.6068446354,711.0127783153,1805.3700028897,1733.1934545131,1544.3298879371,1853.5519078098,1269.0500536679,1568.4330381093,1640.471106995,1962.5777843267,2447.5493102294,1813.9457031231,1271.1269753396,588.8749006781,609.9061256486,1114.4833499548,2535.3384419717,2300.0755259617,2298.7308722603,0,426.1580278709,499.3444387566,844.6672941684,1642.870078984,1476.7138833751,2101.3183277148,1332.8222937129,2392.5651823797,2283.2423794532
Salem,2381.7783207765,2336.8272304019,2116.2676679051,2534.108087354,1659.8294441851,1939.1869526308,1072.9887159305,326.3576464056,2516.2297333222,415.9111728787,2107.8040321239,927.4507049328,2284.8191519989,1994.6296140631,2480.5287209733,965.0394459364,1475.7717335828,2384.4541941997,1973.1398022766,2297.3943739426,2456.6664420113,535.4460092111,1851.0830344132,1903.0718171222,1628.7322986475,1845.5543983458,1325.2122299263,1718.5137047876,1637.2368947037,2109.7067093702,2403.1976278634,1915.8676254422,1443.9220807109,175.0417356055,960.1199192358,1084.398836396,2517.8727455717,2367.9397962667,2343.0959459923,426.1580278709,0,623.1418689969,1076.542203266,1702.5603222324,1442.4829078266,2258.2973378911,1421.8406212983,2400.1438050416,2313.8813170628
Salt Lake City,1906.0791649492,1810.0170961181,1524.3081511506,2086.48440782,1040.109817838,1317.9105582667,694.9274231513,327.2565924205,2042.4145681225,405.5320748056,1561.3595911342,356.7797904112,1704.2319387618,1462.9252205347,2016.479314042,361.1352170536,944.6293927009,1863.5832111694,1415.267018662,1785.8395708946,1972.4014583201,421.4071699934,1308.8772657736,1288.0476843298,1055.0709751483,1354.5955989406,771.560086532,1109.2302327636,1141.6319870537,1503.8874024378,1950.797373075,1332.4908503723,825.2863239115,680.0486866513,486.6216028581,627.0889123701,2036.1857280737,1809.8366177385,1803.4355909226,499.3444387566,623.1418689969,0,461.3969483001,1148.1153372425,983.2585563344,1649.2041875265,843.1677136132,1893.4873822564,1785.9120442516
Santa Fe,1722.6832029782,1563.5895762759,1180.3912884566,1928.0437075827,583.9984121225,896.1660485421,801.4450631136,788.3050513018,1855.0608920128,768.1255703932,1297.9828214098,378.614791009,1376.0512947614,1229.1090280857,1841.9865732838,281.7859211039,773.3792166266,1623.1272571085,1141.8209237502,1561.9029173273,1775.2602716617,819.2199072237,1070.4334181549,893.2176878219,783.3718628656,1189.6783775771,597.0618344741,741.4431518376,995.1278314984,1129.055873646,1793.1583362453,1015.9369674546,440.5322499634,1141.4340198284,375.8919268708,666.6731342516,1839.4787239582,1516.2514448863,1538.5562433977,844.6672941684,1076.542203266,461.3969483001,0,904.0745058891,914.5666506657,1262.4473388695,593.3513568912,1671.0388385235,1538.9354191295
Springfield,822.4535706177,668.2490503396,466.9955296248,1034.6220766493,775.8828238326,622.680135782,732.2591297914,1377.3406268376,952.7997362891,1550.9313514711,413.2849129646,793.8315075514,595.604563004,325.9923323185,943.3083401219,794.966818498,237.8196015736,725.3018816854,270.6517577915,658.7463606834,871.7865965809,1212.9161308766,166.9807729185,490.6452311783,129.364985559,331.7643253389,379.7038800473,363.9910708174,247.3720533885,534.8624919713,902.6076175848,263.1077957771,523.4480871366,1679.8527112467,1279.9596314512,646.9773654992,935.8632534823,666.1891475231,655.861501931,1642.870078984,1702.5603222324,1148.1153372425,904.0745058891,0,406.1547129359,680.6767622289,316.5408936086,768.0533531276,643.7207233054
St Paul,941.0995542841,910.7872520812,867.0203818745,1107.5991744926,1032.415628843,989.8888476017,382.0717428108,1131.8073808767,1076.542203266,1382.0727518143,719.049089008,644.0366019343,967.5460985841,588.8993212075,1044.4226021828,694.995414902,227.2531451156,952.6336950281,624.955805596,860.9998625615,1014.5710698651,916.3171135547,481.8102961039,869.4244777847,443.2890755803,406.0940097776,335.0731470571,701.3074115278,213.1464943406,940.9620153035,973.0152017863,668.2797929501,701.0612976225,1387.0035190547,1264.4636187899,365.54553626,1076.2807275655,985.1872692245,931.1845351069,1476.7138833751,1442.4829078266,983.2585563344,914.5666506657,406.1547129359,0,1086.4146305404,419.246820232,960.5841333703,889.4977079164
Tallahassee,1000.8711508622,705.2888999782,236.6071120932,1211.450120797,786.3663184876,402.8279553082,1396.0345724201,1934.9456818781,1073.89014684,2018.9759028103,551.1277368477,1334.0933469727,312.5370686561,647.1583386364,1104.2982048346,1294.0785661162,901.6260876323,758.0376466749,516.1958747938,780.7212418105,990.7165877258,1822.8428669537,642.6538862646,369.2584567603,682.0968535363,856.763684003,979.6162562432,540.3196339143,904.6923876596,153.4259957041,1123.759359744,418.1870241219,830.5989042914,2268.4750986493,1594.1623612542,1288.6934921569,1034.6061911576,512.9820329277,628.0644377059,2101.3183277148,2258.2973378911,1649.2041875265,1262.4473388695,680.6767622289,1086.4146305404,0,858.024043552,845.4330972862,690.9159607831
Topeka,1129.4924909316,984.4258374121,695.3057275649,1335.0708486547,614.5937923406,636.9930416693,574.4252693482,1095.5588845607,1262.3106356911,1242.0234909541,725.6756756757,496.7870656577,864.7236476769,642.1869876446,1248.6437126965,484.4976237371,208.5868922049,1041.7932964181,574.9400515007,974.5025983023,1183.3533093648,965.2757187946,483.3173804912,544.7727057678,211.9479465982,600.1437921197,132.3789881129,350.0658656589,420.2599503382,705.000466251,1200.5100723831,494.2372435231,283.0081097987,1417.3615971251,968.5902133828,445.4158397164,1247.690708359,967.5206182932,968.9189189189,1332.8222937129,1421.8406212983,843.1677136132,593.3513568912,316.5408936086,419.246820232,858.024043552,0,1083.8284347478,959.85241287
Trenton,172.3092205731,141.8918918919,676.5565204378,366.2361618185,1431.9163399707,1119.6329243631,1340.6757369707,2084.0775636846,230.270627141,2299.0061212101,392.2179445118,1536.8728566482,533.1235225395,442.1428744224,259.5307123446,1552.2236576662,948.9106533545,88.4954592687,544.942381069,109.3279991364,145.3252567211,1876.8529923405,601.1220334095,999.5052190861,888.0252486391,554.9835644024,1125.4746989727,1014.5366457411,763.5759960083,819.9343116272,295.4874271036,712.7126186931,1267.1513247882,2347.5082176628,2046.680064837,1316.0838839631,194.9532168413,341.6547890588,217.5633707838,2392.5651823797,2400.1438050416,1893.4873822564,1671.0388385235,768.0533531276,960.5841333703,845.4330972862,1083.8284347478,0,160.6346980229
Washington DC,310.5654142886,24.6598480958,516.0167472268,522.1552374898,1276.0839503561,959.2807694281,1271.4000869727,1993.4344846415,390.3540422557,2190.5438751496,243.5808467968,1429.4450298976,380.5685886853,323.0676667695,414.7289371475,1437.232205818,844.5797295989,86.238029944,400.1517699656,97.3184098715,304.0540540541,1799.2705333426,478.4470862248,840.1898655818,756.5374320205,488.618638459,1014.4070385615,863.0589782013,681.4218500788,659.7560393129,434.607074246,559.3786663166,1125.1826002284,2271.2482811365,1913.3943360734,1231.0330559951,355.5685064042,206.766692925,77.9812867365,2283.2423794532,2313.8813170628,1785.9120442516,1538.9354191295,643.7207233054,889.4977079164,690.9159607831,959.85241287,160.6346980229,0
