,Albany,Annapolis,Atlanta,Austin,Austin,Baton Rouge,Bismarck,Boise,Boston,Carson City,Charleston,Cheyenne,Columbia,Columbus,Concord,Denver,Des Moines,Dover,Frankfurt,Harrisburg,Hartford,Helena,Indianapolis,Jackson,Jefferson City,Lansing,Lincoln,Litle Rock,Madison,Montgomery,Montpellier,Nashville,Oklahoma City,Olynpia,Phoenix,Pierre,Providence,Raleigh,Richmond,Sacremento,Salem,Salt Lake City,Santa Fe,Springfield,St Paul,Tallahassee,Topeka,Trenton,Washington DC
Charleston,501.9583634976,267.9665330215,331.3987720135,725.403844603,1041.0515593187,745.5189362418,1093.1108562478,1784.1269633026,610.3505949819,1964.1588567652,0,1206.6192303827,292.938719699,134.8544382039,620.7106279989,1207.7169237888,632.0457497704,329.5649233677,156.8295497342,291.0813633967,523.0358227476,1605.084171383,256.721192416,618.1368982529,518.1780500945,361.5275298751,791.519663924,622.3501166069,506.0143210035,475.7817180633,613.3892301786,321.0263057291,881.6635551861,2075.9339867775,1671.6829338316,1034.0242168736,582.0427303525,266.7755476829,243.2432432432,2055.9770514845,2107.8040321239,1561.3595911342,1297.9828214098,413.2849129646,719.049089008,551.1277368477,725.6756756757,392.2179445118,243.5808467968
Cheyenne,1552.3440944998,1453.5027652302,1189.2275792329,1736.9682000897,837.2799472144,1040.6291643551,435.1692323387,602.0406768859,1688.5755642211,762.1864214081,1206.6192303827,0,1361.5104618639,1106.4021558458,1664.2077063855,97.823744692,587.9636398472,1506.8665879253,1062.6513985719,1429.1244951012,1617.4062610081,517.459942236,953.0239538877,987.0768318745,706.9472897015,1000.7541440483,415.4960424428,796.9336092184,788.458797518,1184.0648962779,1600.931778766,990.7684281199,546.5911360222,936.0959171509,651.0386711643,318.4045898447,1681.3587423863,1458.1553858528,1448.070710906,855.6959606446,927.4507049328,356.7797904112,378.614791009,793.8315075514,644.0366019343,1334.0933469727,496.7870656577,1536.8728566482,1429.4450298976
Columbia,691.1329901548,393.72880304,201.9716547094,899.2989417093,996.804838862,636.7446541318,1323.2885152232,1958.4868275692,761.353078316,2096.2958435527,292.938719699,1361.5104618639,0,419.7316658211,792.295349671,1343.209425046,833.3028969363,445.5449671472,342.5915552133,473.1708080456,678.3396807095,1806.707735493,485.9160506993,543.575936851,656.086995826,648.2209316175,961.5888057844,638.9027127866,760.5755480907,315.6569899135,814.9883932186,371.7426092978,936.7058360172,2270.9307678192,1735.5187123384,1242.5692209327,722.159494351,203.612821684,315.6244462781,2184.481612648,2284.8191519989,1704.2319387618,1376.0512947614,595.604563004,967.5460985841,312.5370686561,864.7236476769,533.1235225395,380.5685886853
Columbus,509.6673172647,347.1013749607,413.756883868,729.5326310397,1032.7737514198,777.4936906539,966.3711839439,1672.8659966671,634.576018997,1867.693946911,134.8544382039,1106.4021558458,419.7316658211,0,631.7076147963,1115.4617566758,522.0175118596,401.5355842513,150.6559798059,332.8832638455,550.9711526959,1485.2631637017,159.0150701956,642.7721560227,446.8157978351,228.7938009652,691.513370382,604.6693311224,375.8755301572,547.8713205944,604.2036818128,329.6023236353,832.3581157595,1956.9799083225,1604.864005762,914.7912561709,614.346380741,397.0541865124,348.8960467308,1960.5134630281,1994.6296140631,1462.9252205347,1229.1090280857,325.9923323185,588.8993212075,647.1583386364,642.1869876446,442.1428744224,323.0676667695
Concord,122.0431882986,399.0978916257,927.590247313,107.4324324324,1657.2368523118,1363.542977744,1407.8209815162,2175.015112917,61.8824494154,2420.0402240257,620.7106279989,1664.2077063855,792.295349671,631.7076147963,0,1692.7180706674,1085.5179224549,347.8758720465,760.7402996465,334.0230568143,116.1081364185,1947.6765952785,782.4560632197,1238.4455017377,1070.6579457582,664.2867872534,1267.4220512336,1232.062311066,875.7601310624,1072.6210362981,94.0549277685,938.5923147117,1461.8448973874,2410.9200753933,2217.0931850918,1409.8464784396,101.9374942758,600.4723305219,476.9719936098,2514.5341759433,2480.5287209733,2016.479314042,1841.9865732838,943.3083401219,1044.4226021828,1104.2982048346,1248.6437126965,259.5307123446,414.7289371475
Denver,1578.2146573733,1461.6003441799,1163.4587754334,1769.651480464,754.5334134572,981.2758071216,524.1658300433,644.7093217637,1713.883416677,757.5388092236,1207.7169237888,97.823744692,1343.209425046,1115.4617566758,1692.7180706674,0,607.908751106,1516.996475056,1058.9155043197,1443.50086905,1639.9262508138,594.3891690594,958.8030682022,938.3296183153,696.3096006072,1028.5878964037,427.433628695,753.8714905415,819.4330403821,1146.7760968743,1633.466872892,971.4853492378,483.9672949548,989.4819848016,576.2642119101,397.3438334577,1704.2174729279,1452.0150792461,1450.6859036133,848.591085154,965.0394459364,361.1352170536,281.7859211039,794.966818498,694.995414902,1294.0785661162,484.4976237371,1552.2236576662,1437.232205818
Des Moines,970.3871889956,868.3179061388,699.5563657337,1164.8493837938,811.026153836,767.2879677279,497.3656863962,1152.4375110811,1105.9842864084,1350.1232595301,632.0457497704,587.9636398472,833.3028969363,522.0175118596,1085.5179224549,607.908751106,0,920.2546432773,502.4451716106,841.2186584139,1032.2822959323,977.7080726052,375.3285631471,651.5812087416,227.8400019134,422.5026527724,182.1168441504,476.4591597382,221.790476215,750.761118547,1028.8535056838,491.6825549508,489.8532151457,1446.5674971255,1142.5314057602,409.5698272448,1096.5167057771,893.7925080688,868.6112376108,1443.6545686256,1475.7717335828,944.6293927009,773.3792166266,237.8196015736,227.2531451156,901.6260876323,208.5868922049,948.9106533545,844.5797295989
Dover,257.4563725834,62.6085616682,594.8728617904,454.316405867,1361.4138871396,1040.8206449949,1334.5968112687,2065.4599750885,316.0667526189,2268.6426356584,329.5649233677,1506.8665879253,445.5449671472,401.5355842513,347.8758720465,1516.996475056,920.2546432773,0,485.8949105871,99.4070256911,232.9758731869,1866.301958028,559.0553769853,923.5883449738,840.1605228548,547.5975152559,1092.5976528977,949.2310235964,748.2915164372,736.8152625934,381.8996384134,645.4481854625,1210.9429600303,2338.0304755815,1997.9012225598,1300.3737803379,278.1092900456,253.2161642911,130.0144679256,2361.6335066171,2384.4541941997,1863.5832111694,1623.1272571085,725.3018816854,952.6336950281,758.0376466749,1041.7932964181,88.4954592687,86.238029944
Frankfurt,639.5133741636,424.6222486564,279.5901531919,862.5184598018,896.5327661221,627.5572228353,984.0751721718,1647.9866858909,756.157158697,1816.3180171759,156.8295497342,1062.6513985719,342.5915552133,150.6559798059,760.7402996465,1058.9155043197,502.4451716106,485.8949105871,0,440.0329732316,669.7476438937,1480.1531234333,143.5902222845,493.6341472112,364.8704954521,340.5887996693,649.9301108688,472.2450962917,419.1635074992,404.1111095936,742.4676542969,181.7102824136,725.0554121037,1948.6098742253,1515.1549074989,911.091714242,730.7312946506,395.7896795223,397.1421373799,1907.4938238677,1973.1398022766,1415.267018662,1141.8209237502,270.6517577915,624.955805596,516.1958747938,574.9400515007,544.942381069,400.1517699656
Harrisburg,221.5031407092,95.8721642464,594.3373214906,440.7234117212,1332.0590795932,1029.9092735578,1242.4088342684,1980.0485169034,319.4867254107,2191.3099712423,291.0813633967,1429.1244951012,473.1708080456,332.8832638455,334.0230568143,1443.50086905,841.2186584139,99.4070256911,440.0329732316,0,232.0481187977,1776.4090488507,491.8329523643,906.0833484463,779.0643092548,454.9625924789,1017.0142244815,911.5132827187,660.1576111696,739.8509809878,343.0949083609,611.9506973223,1159.7181246152,2247.7161528047,1937.5939855618,1213.0025108414,291.2224869206,304.0540540541,174.6187017915,2284.7508147739,2297.3943739426,1785.8395708946,1561.9029173273,658.7463606834,860.9998625615,780.7212418105,974.5025983023,109.3279991364,97.3184098715
